student_id,study_hours,attendance_percentage,class_participation,total_score,grade
31116,15.3,86.1,10.0,90.0,A
427908,22.1,66.2,5.0,100.0,A
543490,18.8,70.9,5.8,90.5,A
854786,17.4,81.1,5.5,100.0,A
429844,16.0,90.3,8.5,97.3,A
360968,19.3,87.1,9.2,90.1,A
856693,21.9,82.0,5.5,100.0,A
804540,14.7,100.0,4.1,97.6,A
722973,22.2,86.6,6.0,100.0,A
713104,15.9,89.8,4.8,88.8,A
670572,18.5,100.0,5.2,97.1,A
162561,28.5,62.4,4.6,100.0,A
30859,23.8,79.5,7.8,100.0,A
365179,29.3,82.0,7.1,100.0,A
214920,28.3,70.3,7.7,100.0,A
347984,18.2,67.9,3.8,89.3,A
132579,32.7,70.9,7.8,100.0,A
264378,21.2,100.0,3.4,86.3,A
633264,16.9,81.2,5.1,92.7,A
845377,20.9,90.5,7.5,100.0,A
857904,16.3,87.0,7.6,89.2,A
830506,14.0,90.2,5.6,85.8,A
466398,19.4,85.6,6.8,98.9,A
110690,23.0,100.0,7.5,100.0,A
139028,17.6,71.7,3.9,99.3,A
101234,19.1,88.9,10.0,100.0,A
628020,11.1,85.5,8.0,99.2,A
965935,9.5,96.5,6.0,90.4,A
798310,27.1,84.1,6.3,100.0,A
605526,25.7,97.1,4.9,100.0,A
216384,22.3,68.6,7.6,100.0,A
202277,18.9,86.9,3.8,100.0,A
904370,15.6,82.9,4.9,99.4,A
321693,30.5,77.9,7.7,100.0,A
189977,16.8,99.1,6.0,100.0,A
992422,19.8,76.4,6.5,100.0,A
808988,19.8,100.0,4.2,87.8,A
766465,18.9,100.0,6.6,99.0,A
566860,15.0,94.8,2.1,86.5,A
20658,26.2,89.2,5.9,100.0,A
317971,14.8,90.4,5.1,94.1,A
964235,16.0,82.2,6.8,100.0,A
524671,20.6,89.3,3.5,100.0,A
185910,18.4,100.0,8.0,100.0,A
276050,21.0,70.9,4.8,89.9,A
446952,17.4,84.2,6.4,99.5,A
771148,20.6,86.5,5.1,100.0,A
538841,12.5,95.9,5.2,89.0,A
117887,19.6,95.5,8.0,100.0,A
377187,26.2,85.7,7.1,100.0,A
482407,6.2,86.2,6.7,85.5,A
